6	10
7	9
10	1
11	1
16	12
18	10
19	9
21	1
22	1
25	12
26	11
33	11
34	11
42	10
54	1
58	9
63	10
64	11
68	9
75	12
79	11
82	9
84	12
86	12
87	11
88	10
91	12
92	11
93	9
94	1
96	12
98	11
100	9
102	9
106	1
107	11
108	12
109	1
120	9
124	11
126	1
127	10
129	12
130	10
131	12
135	10
138	1
149	11
151	10
152	12
157	9
158	10
159	9
160	11
162	9
167	9
170	11
173	9
177	12
179	1
184	1
187	9
191	10
193	9
195	1
196	12
200	10
201	10
203	1
205	10
210	11
217	12
220	1
226	12
227	12
230	9
232	1
233	1
236	10
237	1
242	12
246	10
251	10
255	11
261	9
262	10
263	10
265	1
268	12
274	10
275	10
277	11
279	10
282	9
284	9
287	10
288	9
294	11
300	10
303	11
304	1
307	12
309	11
312	9
317	11
318	12
319	12
321	10
326	10
328	12
336	9
337	10
338	12
343	1
345	11
352	12
355	1
359	11
360	10
366	9
370	11
372	9
375	9
376	1
380	12
381	10
383	9
387	10
390	11
394	12
396	11
398	10
401	10
404	11
408	12
414	1
416	12
425	10
427	11
428	11
432	12
438	9
443	12
450	9
451	10
456	11
460	12
461	10
464	11
465	9
466	10
467	9
471	10
478	12
487	11
490	12
492	12
493	11
494	10
498	1
500	11
502	11
504	10
505	10
507	9
508	11
512	9
524	12
527	1
530	11
549	12
550	11
558	9
563	1
567	9
568	12
569	10
573	11
578	10
580	12
582	12
587	9
592	9
595	10
596	9
597	9
598	11
601	1
603	9
604	1
606	11
609	10
610	10
611	11
613	10
615	10
624	12
629	9
630	9
631	10
633	11
637	10
639	12
640	1
641	10
648	11
652	1
655	10
656	11
658	1
659	10
661	12
662	12
663	12
665	11
667	10
669	10
670	11
671	11
672	12
673	9
680	9
684	9
687	10
689	1
691	9
692	11
693	9
696	1
697	12
699	11
704	12
725	1
727	11
730	11
732	1
733	9
734	1
746	11
748	9
750	1
753	12
756	10
758	10
759	1
765	9
771	10
774	9
783	1
785	9
787	11
792	9
793	12
801	12
802	10
803	11
811	12
818	1
823	12
825	1
828	10
831	11
833	10
835	11
836	9
845	12
854	12
859	11
861	9
865	1
868	11
870	12
877	9
879	10
881	9
884	10
893	10
894	10
901	9
905	12
914	10
916	11
920	1
922	12
927	10
932	9
934	12
935	12
944	10
945	11
955	10
956	12
964	11
968	9
975	1
978	9
979	9
980	11
984	11
990	11
1006	12
1010	1
1017	9
1028	9
1031	1
1036	1
1038	11
1040	9
1045	10
1051	9
1053	12
1056	12
1060	9
1061	9
1064	12
1065	1
1070	9
1078	12
1084	10
1092	11
1096	1
1097	11
1100	1
1128	9
1134	9
1142	10
1151	11
1160	12
1162	11
1164	1
1166	10
1172	1
1178	1
1180	9
1192	12
1196	12
1197	9
1201	9
1210	12
1213	10
1217	12
1221	10
1224	12
1228	9
1230	11
1235	10
1247	9
1263	9
1264	10
1271	11
1274	11
1277	9
1281	12
1295	1
1305	9
1324	11
1338	11
1340	11
1350	9
1357	11
1366	10
1371	1
1377	12
1381	12
1383	12
1388	11
1397	10
1400	11
1407	10
1425	11
1436	10
1438	9
1439	10
1440	1
1442	12
1443	11
1449	10
1451	12
1452	12
1455	9
1459	11
1460	9
1462	11
1467	10
1469	10
1472	11
1474	10
1475	9
1476	12
1477	12
1478	9
1479	10
1480	12
1481	9
1482	11
1483	10
1485	12
1486	11
1488	10
1489	11
1490	11
1491	9
1492	12
1493	10
1496	11
1497	12
1498	11
1499	9
1501	10
1502	11
1503	10
1504	12
1505	9
1506	12
1507	10
1508	10
1509	11
1510	11
1511	11
1512	12
1513	10
1514	10
1515	9
1516	12
1517	10
1518	10
1519	9
1520	10
1521	12
1522	12
1523	12
1524	9
1525	12
1526	11
1527	9
1528	12
1529	10
1530	12
1531	9
1532	10
1533	11
1534	10
1535	9
1536	10
1537	9
1539	9
1540	9
1541	9
1542	11
1543	12
1544	10
1545	11
1547	9
1548	9
1549	9
1550	9
1551	11
1552	9
1553	12
1554	12
1555	12
1556	11
1557	11
1558	11
1559	10
1560	12
1561	9
1562	9
1563	11
1564	11
1565	9
1566	12
1567	10
1568	11
1569	12
1570	9
1571	12
1572	10
1573	1
1574	11
1575	10
1576	1
1577	12
1578	10
1579	12
1581	12
1582	12
1584	9
1585	11
1586	11
1587	9
1589	1
1590	11
1593	11
1595	12
1597	1
